budget,genres,revenue,release_date,vote_average,month,year
30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",373554033.0,1995-10-30,7.7,10,1995
65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",262797249.0,1995-12-15,6.9,12,1995
16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",81452156.0,1995-12-22,6.1,12,1995
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",187436818.0,1995-12-15,7.7,12,1995
35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",64350171.0,1995-12-22,5.5,12,1995
58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",352194034.0,1995-11-16,6.6,11,1995
62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",107879496.0,1995-11-17,6.5,11,1995
44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",13681765.0,1995-12-22,7.1,12,1995
98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",10017322.0,1995-12-22,5.7,12,1995
52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",116112375.0,1995-11-22,7.8,11,1995
16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",135000000.0,1995-12-13,7.2,12,1995
4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",4300000.0,1995-12-09,6.5,12,1995
30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",212385533.0,1995-11-10,6.1,11,1995
60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",35431113.0,1995-11-21,5.4,11,1995
30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",115101622.0,1995-10-20,6.4,10,1995
50000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",30303072.0,1995-10-06,6.0,10,1995
3600000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",49800000.0,1995-10-27,7.1,10,1995
12000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",27400000.0,1995-10-20,6.6,10,1995
18000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1738611.0,1995-05-16,7.6,5,1995
29500000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",168840000.0,1995-12-29,7.4,12,1995
30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",254134910.0,1995-07-18,6.0,7,1995
11000000,"[{'id': 18, 'name': 'Drama'}]",39363635.0,1995-12-29,7.3,12,1995
18000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",122195920.0,1995-08-18,5.4,8,1995
20000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",21284514.0,1995-05-20,6.7,5,1995
