genres,revenue,release_date,vote_average
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",373554033.0,1995-10-30,7.7
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",262797249.0,1995-12-15,6.9
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",81452156.0,1995-12-22,6.1
"[{'id': 35, 'name': 'Comedy'}]",76578911.0,1995-02-10,5.7
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",187436818.0,1995-12-15,7.7
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",64350171.0,1995-12-22,5.5
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",352194034.0,1995-11-16,6.6
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",107879496.0,1995-11-17,6.5
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",11348324.0,1995-12-22,7.1
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",13681765.0,1995-12-22,7.1
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",10017322.0,1995-12-22,5.7
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",116112375.0,1995-11-22,7.8
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",135000000.0,1995-12-13,7.2
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",4300000.0,1995-12-09,6.5
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",212385533.0,1995-11-10,6.1
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",35431113.0,1995-11-21,5.4
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",115101622.0,1995-10-20,6.4
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",30303072.0,1995-10-06,6.0
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",49800000.0,1995-10-27,7.1
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",27400000.0,1995-10-20,6.6
"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1738611.0,1995-05-16,7.6
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",180000000.0,1995-08-11,6.4
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",168840000.0,1995-12-29,7.4
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",254134910.0,1995-07-18,6.0
"[{'id': 18, 'name': 'Drama'}]",39363635.0,1995-12-29,7.3
"[{'id': 18, 'name': 'Drama'}]",676525.0,1995-12-15,6.7
"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",122195920.0,1995-08-18,5.4
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",21284514.0,1995-05-20,6.7
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23574130.0,1995-10-06,6.5
"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",327311859.0,1995-09-22,8.1
"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",346079773.0,1995-06-14,6.7
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",23341568.0,1995-07-19,8.1
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6700000.0,1995-09-13,6.7
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17519169.0,1995-11-02,6.3
"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",106269971.0,1995-12-29,6.9
"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2409225.0,1996-01-12,2.8
"[{'id': 35, 'name': 'Comedy'}]",28215918.0,1995-04-26,7.0
"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",25836616.0,1996-01-19,6.9
